Year,Brazil,China,India,Russia,South Africa,United States
2000,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2001,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2002,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2003,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2004,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2005,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2006,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2007,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2008,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2009,50.937,49.08868,15.496,192.36414,108.61942,333.4704
2010,50.937,49.08868,15.496,192.36414,108.61942,333.4704